Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/query,13,0,25000.0,24443.707775776813,10745.20491703879,30614.88129099598,2812.230769230769,0.11612238020770978,0.0,25000,28000,29000,30000,31000,31000,31000,31000,31000,31000,31000
,Aggregated,13,0,25000.0,24443.707775776813,10745.20491703879,30614.88129099598,2812.230769230769,0.11612238020770978,0.0,25000,28000,29000,30000,31000,31000,31000,31000,31000,31000,31000
