Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/query,53,0,4000.0,21145.522981888684,1946.6736660106108,256987.16741701355,435.50943396226415,0.18665413952337254,0.0,4000,5500,6200,7100,47000,172000,229000,257000,257000,257000,257000
,Aggregated,53,0,4000.0,21145.522981888684,1946.6736660106108,256987.16741701355,435.50943396226415,0.18665413952337254,0.0,4000,5500,6200,7100,47000,172000,229000,257000,257000,257000,257000
