Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/query,36,0,147000.0,147564.13056246756,12203.729458968155,285271.34766598465,2776.3333333333335,0.12315892921633775,0.0,153000,190000,229000,237000,259000,277000,285000,285000,285000,285000,285000
,Aggregated,36,0,147000.0,147564.13056246756,12203.729458968155,285271.34766598465,2776.3333333333335,0.12315892921633775,0.0,153000,190000,229000,237000,259000,277000,285000,285000,285000,285000,285000
