Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/query,17,0,221000.0,227049.34466175857,161463.6316249962,295792.72629198385,2771.4117647058824,0.05746987079625445,0.0,221000,255000,265000,273000,287000,296000,296000,296000,296000,296000,296000
,Aggregated,17,0,221000.0,227049.34466175857,161463.6316249962,295792.72629198385,2771.4117647058824,0.05746987079625445,0.0,221000,255000,265000,273000,287000,296000,296000,296000,296000,296000,296000
